,RA,DEC,Field
0,119.518472684786,20.9994054793187,165
1,155.277948131263,8.4569368068032,80
2,175.419945471027,0.1465241362274,78
3,179.547637193289,-0.0461746339986,100
4,159.83689196221,5.7350438957126,84
5,175.043931912366,-0.493190446646,78
6,174.309825773453,0.8718070675782,91
7,175.108858360856,0.2051647393635,78
8,174.755088435063,0.056050348867,78
9,130.955870382423,16.6738082807238,64
10,130.955870382423,16.6738082807238,66
11,118.130659918829,21.3210985067663,165
12,131.229676371333,16.6702769507157,64
13,131.229676371333,16.6702769507157,66
14,119.147049522181,20.4109654122025,165
15,161.332669506412,6.5161931697255,84
16,118.936834838867,21.9397822413444,54
17,13.4303008984675,6.6238458387926,124
18,43.8812333756044,33.8293791007517,38
19,126.920857306734,18.9743319018011,137
20,130.536524895672,17.5784723404617,64
21,115.746366920786,19.6602406213717,17
22,135.943248543337,15.218022798123,65
23,6.7077267525426,0.8935133132453,133
24,333.875032362136,-9.6768282317484,1
25,329.443515037408,25.146325454894,28
26,127.485017837116,19.625040917584,137
27,174.457706929943,0.7294145644891,91
28,165.386919157257,4.2253886840657,75
29,7.145280096703,0.8496176637358,133
30,262.366169655126,26.9685560076237,151
31,8.3033806759268,0.5763754698669,133
32,115.605806802471,20.0659933143835,16
33,115.605806802471,20.0659933143835,17
34,119.556800446239,20.8840412198446,165
35,119.488011317658,19.1726461484516,58
36,131.394607802348,16.2362197898543,66
37,119.026186469792,20.5460588769263,165
38,161.159372814041,6.3109222116893,84
39,262.678146322909,27.0300243923122,151
40,154.031754017741,8.4892816110496,72
41,179.568831744414,-1.3860486071623,100
42,168.897955674105,3.9553900585063,77
43,168.897955674105,3.9553900585063,103
44,130.551101145769,17.9944572116752,64
45,158.678312440745,11.0697760636506,82
46,131.345965340952,16.4159909713008,64
47,131.345965340952,16.4159909713008,66
48,118.779473309249,19.0744361130286,58
49,126.819869154974,19.0897214376356,137
50,181.492717230672,-0.7047518128294,97
51,181.492717230672,-0.7047518128294,104
52,183.079303431545,-1.2599872059777,115
53,116.1507415881,21.6413960373934,15
54,116.1507415881,21.6413960373934,16
55,17.9716211984124,6.6778988867144,123
56,113.954982833445,20.9558367818543,18
57,113.954982833445,20.9558367818543,52
58,113.954982833445,20.9558367818543,164
59,130.617737546134,17.5468278758927,64
60,154.696218127609,10.0461937020906,73
61,186.655105231353,-2.8024734618477,116
62,173.80827343149,1.1944740198895,91
63,130.907563457189,16.2140369874146,66
64,169.819808504549,4.5933798270935,103
65,262.72857899566,26.924883344137,151
66,180.864008837925,-1.3360334490158,97
67,180.864008837925,-1.3360334490158,104
68,113.953200533145,20.4194963146299,52
69,7.3554046834497,0.2666052435864,133
70,126.297941291875,18.5522521605656,137
71,129.98669237882,16.9059839550584,64
72,118.906277878958,21.1284090739262,165
73,113.860194209581,20.6693203674055,18
74,113.860194209581,20.6693203674055,52
75,113.860194209581,20.6693203674055,164
76,23.2571377942706,8.6934248430638,125
77,23.2571377942706,8.6934248430638,126
78,334.806112933254,-9.5044798420958,1
79,164.375065933685,8.6095143581577,74
80,115.114254012913,19.808369025188,17
81,118.51452124585,21.0175084486239,165
82,159.821272959801,5.9616046170427,84
83,179.581127360968,-1.0697548715212,100
